title,year,department,award,film,img_link,film_link
Awards,2008,Commissioned Films,"Award for best music video
","Annuals ""Dry Clothes""",https://www.annecy.org/resources/images/t/20080904.jpg,https://www.annecy.org/about/archives/2008/award-winners/film-index:film-20080904
Awards,2008,Commissioned Films,"Educational, scientific or industrial film Award
","Bibigon ""Factually Fun Idents X 9""",https://www.annecy.org/resources/images/t/20080902.jpg,https://www.annecy.org/about/archives/2008/award-winners/film-index:film-20080902
Awards,2008,Commissioned Films,"Advertising or promotional film Award
","Sony Bravia ""Play-Doh""",https://www.annecy.org/resources/images/t/20080801.jpg,https://www.annecy.org/about/archives/2008/award-winners/film-index:film-20080801
Awards,2007,Feature films,"Special Distinction for a feature
",La traversée du temps,https://www.annecy.org/resources/images/t/20070550.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070550
Awards,2007,Feature films,"Audience Award for a feature
",Max & Co,https://www.annecy.org/resources/images/t/20071881.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20071881
Awards,2007,Feature films,"The Cristal for best feature
",Slipp Jimmy Fri,https://www.annecy.org/resources/images/t/20070333.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070333
Awards,2007,Short films,"""Jean-Luc Xiberras"" Award for a first film
",Devochka dura,https://www.annecy.org/resources/images/t/20070475.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070475
Awards,2007,Short films,"Sacem Award
",L’homme de la lune,https://www.annecy.org/resources/images/t/20070014.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070014
Awards,2007,Short films,"Junior Jury Award for a short film
",Même les pigeons vont au paradis,https://www.annecy.org/resources/images/t/20070523.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070523
Awards,2007,Short films,"Annecy Cristal
Audience Award
",Peter & the Wolf,https://www.annecy.org/resources/images/t/20071619.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20071619
Awards,2007,Short films,"CANAL+ Award
",Premier voyage,https://www.annecy.org/resources/images/t/20070679.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070679
Awards,2007,TV series,"The Cristal for best TV production
","Shaun the Sheep ""Still Life""",https://www.annecy.org/resources/images/t/20071334.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20071334
Awards,2007,Short films,"Special Jury Award
",The Pearce Sisters,https://www.annecy.org/resources/images/t/default.png,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070681
Awards,2007,Short films,"Fipresci Award
",The Runt,https://www.annecy.org/resources/images/t/20070848.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070848
Awards,2007,Short films,"Special Distinction
",The Tale of How,https://www.annecy.org/resources/images/t/20071006.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20071006
Awards,2007,Graduation Films,"Special Distinction (ex æquo) for best feature
",Beton,https://www.annecy.org/resources/images/t/20070086.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070086
Awards,2007,Graduation Films,"Special Jury Award for a graduation film
",Milk Teeth,https://www.annecy.org/resources/images/t/20070547.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070547
Awards,2007,Graduation Films,"Award for best graduation film
",t.o.m.,https://www.annecy.org/resources/images/t/20070389.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070389
Awards,2007,Graduation Films,"Special Distinction (ex æquo) for a graduation film
",The Wraith of Cobble Hill,https://www.annecy.org/resources/images/t/20071672.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20071672
Awards,2007,Graduation Films,"Junior Jury Award for a graduation film
",Welcome to White Chapel District,https://www.annecy.org/resources/images/t/20070326.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070326
Awards,2007,TV films,"Special Award for a TV series
","Charlie and Lola ""I Will Be Especially, Very Careful""",https://www.annecy.org/resources/images/t/20071036.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20071036
Awards,2007,TV films,"Award for best TV special
Unicef Award
",The Wrong Trainers,https://www.annecy.org/resources/images/t/20071776.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20071776
Awards,2007,Commissioned Films,"Educational, scientific or industrial film Award
","Bloot ""Seks""",https://www.annecy.org/resources/images/t/20070828.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20070828
Awards,2007,Commissioned Films,"Award for best music video
","Gérald Genty ""Plaire""",https://www.annecy.org/resources/images/t/20071207.jpg,https://www.annecy.org/about/archives/2007/award-winners/film-index:film-20071207
